"entryID","employeeNumber","lastName","firstName","leaveStatus","submittedDate","leaveReason","startDate","endDate","leaveDay"
"34-2","34","Santos","Beatriz","Rejected","2024-05-28","Maternity Leave","2024-05-30","2024-06-01","8"
"5-4","5","Hernandez","Eduard","Approved","2024-05-29","Sick Leave","2024-05-31","2024-06-10","10"
"14-1","14","Martinez","Leila","Rejected","2024-05-29","Maternity Leave","2024-06-02","2024-06-06","6"
"27-1","27","Manalaysay","Garfield","Rejected","2024-05-29","Others","2024-05-31","2024-06-07","1"
"31-1","31","Aguilar","Delia","Approved","2024-05-29","Sick Leave","2024-06-01","2024-06-07","5"
"11-4","11","Salcedo","Anthony","Rejected","2024-05-30","Maternity Leave","2024-06-02","2024-06-10","6"
"22-3","22","Delos Santos","Kolby","Approved","2024-05-30","Vacation Leave","2024-06-01","2024-06-11","10"
"26-2","26","Gutierrez","Percival","Approved","2024-05-30","Paternity Leave","2024-05-31","2024-06-05","3"
"29-3","29","Ramos","Carol","Approved","2024-05-30","Vacation Leave","2024-05-31","2024-06-03","3"
"2-1","2","Lim","Antonio","Approved","2024-05-31","Sick Leave","2024-06-03","2024-06-07","6"
"4-3","4","Reyes","Isabella","Rejected","2024-06-01","Others","2024-06-04","2024-06-07","8"
"6-3","6","Villanueva","Andrea Mae","Rejected","2024-06-01","Sick Leave","2024-06-03","2024-06-13","9"
"7-4","7","San Jose","Brad","Rejected","2024-06-01","Maternity Leave","2024-06-03","2024-06-10","7"
"13-2","13","Farala","Martha","Approved","2024-06-01","Paternity Leave","2024-06-02","2024-06-12","8"
"10-2","10","Alvaro","Roderick","Approved","2024-06-02","Paternity Leave","2024-06-04","2024-06-11","5"
"28-2","28","Villegas","Lizeth","Rejected","2024-06-02","Vacation Leave","2024-06-05","2024-06-07","7"
"33-4","33","Martinez","Carlos Ian","Rejected","2024-06-02","Others","2024-06-05","2024-06-07","9"
"8-4","8","Romualdez","Alice","Rejected","2024-06-03","Sick Leave","2024-06-04","2024-06-05","4"
"12-1","12","Lopez","Josie","Approved","2024-06-03","Maternity Leave","2024-06-07","2024-06-09","3"
"12-3","12","Lopez","Josie","Rejected","2024-06-03","Others","2024-06-08","2024-06-13","7"
"16-4","16","Mata","Christian","Approved","2024-06-03","Paternity Leave","2024-06-05","2024-06-08","1"
"20-1","20","Bautista","Mark","Approved","2024-06-03","Vacation Leave","2024-06-07","2024-06-14","5"
"21-4","21","Lazaro","Darlene","Rejected","2024-06-03","Paternity Leave","2024-06-04","2024-06-05","1"
"27-4","27","Manalaysay","Garfield","Approved","2024-06-03","Sick Leave","2024-06-07","2024-06-10","3"
"4-2","4","Reyes","Isabella","Approved","2024-06-04","Paternity Leave","2024-06-05","2024-06-13","7"
"6-4","6","Villanueva","Andrea Mae","Approved","2024-06-04","Vacation Leave","2024-06-07","2024-06-17","2"
"23-3","23","Santos","Vella","Approved","2024-06-04","Vacation Leave","2024-06-07","2024-06-11","3"
"24-2","24","Del Rosario","Tomas","Rejected","2024-06-04","Paternity Leave","2024-06-08","2024-06-16","7"
"30-1","30","Maceda","Emelia","Rejected","2024-06-04","Vacation Leave","2024-06-09","2024-06-14","6"
"7-2","7","San Jose","Brad","Approved","2024-06-05","Others","2024-06-09","2024-06-13","2"
"8-1","8","Romualdez","Alice","Rejected","2024-06-05","Maternity Leave","2024-06-07","2024-06-11","5"
"19-1","19","Rosario","Cydney","Approved","2024-06-05","Maternity Leave","2024-06-07","2024-06-08","4"
"26-4","26","Gutierrez","Percival","Rejected","2024-06-05","Maternity Leave","2024-06-09","2024-06-13","10"
"28-3","28","Villegas","Lizeth","Rejected","2024-06-05","Vacation Leave","2024-06-10","2024-06-13","3"
"29-2","29","Ramos","Carol","Rejected","2024-06-05","Vacation Leave","2024-06-09","2024-06-15","7"
"33-3","33","Martinez","Carlos Ian","Rejected","2024-06-05","Sick Leave","2024-06-07","2024-06-14","1"
"7-3","7","San Jose","Brad","Approved","2024-06-06","Others","2024-06-08","2024-06-12","8"
"9-2","9","Atienza","Rosie","Rejected","2024-06-06","Others","2024-06-09","2024-06-17","5"
"14-2","14","Martinez","Leila","Rejected","2024-06-06","Others","2024-06-09","2024-06-11","7"
"17-4","17","De Leon","Selena","Rejected","2024-06-06","Paternity Leave","2024-06-08","2024-06-18","5"
"28-1","28","Villegas","Lizeth","Approved","2024-06-06","Vacation Leave","2024-06-11","2024-06-12","1"
"9-4","9","Atienza","Rosie","Rejected","2024-06-07","Sick Leave","2024-06-09","2024-06-18","10"
"14-3","14","Martinez","Leila","Approved","2024-06-07","Maternity Leave","2024-06-09","2024-06-10","6"
"22-1","22","Delos Santos","Kolby","Approved","2024-06-07","Vacation Leave","2024-06-12","2024-06-13","2"
"23-2","23","Santos","Vella","Approved","2024-06-07","Sick Leave","2024-06-11","2024-06-12","1"
"29-4","29","Ramos","Carol","Approved","2024-06-07","Sick Leave","2024-06-10","2024-06-15","1"
"30-4","30","Maceda","Emelia","Rejected","2024-06-07","Maternity Leave","2024-06-09","2024-06-15","8"
"15-4","15","Romualdez","Fredrick","Rejected","2024-06-08","Sick Leave","2024-06-12","2024-06-13","3"
"16-2","16","Mata","Christian","Rejected","2024-06-08","Sick Leave","2024-06-09","2024-06-13","4"
"21-3","21","Lazaro","Darlene","Rejected","2024-06-08","Maternity Leave","2024-06-09","2024-06-11","7"
"22-2","22","Delos Santos","Kolby","Approved","2024-06-08","Sick Leave","2024-06-13","2024-06-21","3"
"28-4","28","Villegas","Lizeth","Approved","2024-06-08","Paternity Leave","2024-06-13","2024-06-15","7"
"30-3","30","Maceda","Emelia","Approved","2024-06-08","Paternity Leave","2024-06-10","2024-06-14","2"
"34-3","34","Santos","Beatriz","Rejected","2024-06-08","Sick Leave","2024-06-13","2024-06-20","4"
"4-1","4","Reyes","Isabella","Rejected","2024-06-09","Sick Leave","2024-06-13","2024-06-17","5"
"10-3","10","Alvaro","Roderick","Rejected","2024-06-09","Vacation Leave","2024-06-10","2024-06-15","4"
"18-2","18","San Jose","Allison","Rejected","2024-06-09","Others","2024-06-12","2024-06-20","5"
"33-1","33","Martinez","Carlos Ian","Rejected","2024-06-09","Vacation Leave","2024-06-10","2024-06-16","7"
"3-3","3","Aquino","Bianca Sofia ","Approved","2024-06-10","Vacation Leave","2024-06-15","2024-06-24","5"
"11-2","11","Salcedo","Anthony","Approved","2024-06-10","Vacation Leave","2024-06-12","2024-06-18","3"
"27-3","27","Manalaysay","Garfield","Rejected","2024-06-10","Maternity Leave","2024-06-11","2024-06-14","10"
"18-1","18","San Jose","Allison","Rejected","2024-06-11","Others","2024-06-15","2024-06-16","6"
"20-2","20","Bautista","Mark","Rejected","2024-06-11","Sick Leave","2024-06-16","2024-06-26","10"
"27-2","27","Manalaysay","Garfield","Rejected","2024-06-11","Paternity Leave","2024-06-14","2024-06-23","8"
"29-1","29","Ramos","Carol","Approved","2024-06-11","Vacation Leave","2024-06-12","2024-06-19","1"
"32-3","32","Castro","John Rafael","Rejected","2024-06-11","Maternity Leave","2024-06-14","2024-06-20","4"
"34-1","34","Santos","Beatriz","Rejected","2024-06-11","Others","2024-06-15","2024-06-24","7"
"6-1","6","Villanueva","Andrea Mae","Rejected","2024-06-12","Maternity Leave","2024-06-17","2024-06-23","1"
"20-4","20","Bautista","Mark","Approved","2024-06-12","Paternity Leave","2024-06-15","2024-06-16","6"
"5-3","5","Hernandez","Eduard","Rejected","2024-06-13","Maternity Leave","2024-06-14","2024-06-21","4"
"17-3","17","De Leon","Selena","Rejected","2024-06-13","Others","2024-06-15","2024-06-25","10"
"19-2","19","Rosario","Cydney","Rejected","2024-06-13","Maternity Leave","2024-06-16","2024-06-18","6"
"25-4","25","Tolentino","Jacklyn","Rejected","2024-06-13","Sick Leave","2024-06-18","2024-06-26","5"
"32-2","32","Castro","John Rafael","Rejected","2024-06-13","Maternity Leave","2024-06-17","2024-06-26","6"
"18-3","18","San Jose","Allison","Approved","2024-06-14","Maternity Leave","2024-06-16","2024-06-20","8"
"21-2","21","Lazaro","Darlene","Rejected","2024-06-14","Paternity Leave","2024-06-15","2024-06-22","7"
"23-1","23","Santos","Vella","Approved","2024-06-14","Maternity Leave","2024-06-17","2024-06-20","9"
"26-3","26","Gutierrez","Percival","Rejected","2024-06-14","Others","2024-06-17","2024-06-24","4"
"34-4","34","Santos","Beatriz","Rejected","2024-06-14","Others","2024-06-18","2024-06-28","6"
"3-2","3","Aquino","Bianca Sofia ","Rejected","2024-06-15","Maternity Leave","2024-06-20","2024-06-27","3"
"15-2","15","Romualdez","Fredrick","Rejected","2024-06-15","Vacation Leave","2024-06-16","2024-06-19","3"
"15-3","15","Romualdez","Fredrick","Approved","2024-06-15","Paternity Leave","2024-06-16","2024-06-20","1"
"31-4","31","Aguilar","Delia","Approved","2024-06-15","Paternity Leave","2024-06-20","2024-06-25","1"
"2-2","2","Lim","Antonio","Rejected","2024-06-15","Paternity Leave","2024-06-17","2024-06-21","7"
"5-1","5","Hernandez","Eduard","Approved","2024-06-16","Sick Leave","2024-06-20","2024-06-25","10"
"8-2","8","Romualdez","Alice","Rejected","2024-06-16","Paternity Leave","2024-06-18","2024-06-24","6"
"13-3","13","Farala","Martha","Approved","2024-06-16","Paternity Leave","2024-06-20","2024-06-30","9"
"18-4","18","San Jose","Allison","Approved","2024-06-16","Sick Leave","2024-06-19","2024-06-22","3"
"31-2","31","Aguilar","Delia","Rejected","2024-06-16","Sick Leave","2024-06-18","2024-06-23","2"
"2-3","2","Lim","Antonio","Rejected","2024-06-16","Sick Leave","2024-06-18","2024-06-20","7"
"5-2","5","Hernandez","Eduard","Rejected","2024-06-17","Others","2024-06-18","2024-06-20","5"
"6-2","6","Villanueva","Andrea Mae","Approved","2024-06-17","Maternity Leave","2024-06-21","2024-06-30","9"
"9-1","9","Atienza","Rosie","Rejected","2024-06-17","Paternity Leave","2024-06-20","2024-06-24","8"
"32-1","32","Castro","John Rafael","Approved","2024-06-17","Maternity Leave","2024-06-18","2024-06-26","4"
"3-4","3","Aquino","Bianca Sofia ","Approved","2024-06-18","Maternity Leave","2024-06-19","2024-06-27","5"
"17-1","17","De Leon","Selena","Approved","2024-06-18","Maternity Leave","2024-06-19","2024-06-22","5"
"22-4","22","Delos Santos","Kolby","Rejected","2024-06-18","Maternity Leave","2024-06-22","2024-06-29","8"
"26-1","26","Gutierrez","Percival","Rejected","2024-06-19","Others","2024-06-21","2024-06-28","9"
"32-4","32","Castro","John Rafael","Approved","2024-06-19","Others","2024-06-22","2024-06-29","10"
"2-4","2","Lim","Antonio","Approved","2024-06-19","Sick Leave","2024-06-23","2024-06-28","7"
"2-5","2","Lim","Antonio","Approved","2024-06-24","Vacation Leave","2024-07-02","2024-07-04","3"
"2-6","2","Lim","Antonio","Pending","2025-01-20","Sick Leave","2025-01-08","2025-01-12","4"
"1-1","1","Garcia","Manuel III","Rejected","2024-06-03","Vacation Leave","2024-06-06","2024-06-11","8"
"1-2","1","Garcia","Manuel III","Rejected","2024-06-08","Others","2024-06-11","2024-06-19","5"
"1-3","1","Garcia","Manuel III","Approved","2024-06-11","Sick Leave","2024-06-16","2024-06-17","3"
"1-4","1","Garcia","Manuel III","Rejected","2024-06-17","Paternity Leave","2024-06-20","2024-06-24","9"
"1-5","1","Garcia","Manuel III","Rejected","2024-06-22","Others_Personal","2024-06-25","2024-06-27","3"
"1-6","1","Garcia","Manuel III","Approved","2024-06-22","Vacation Leave","2024-07-02","2024-07-04","3"
"1-7","1","Garcia","Manuel III","Approved","2024-07-01","Paternity Leave","2024-06-25","2024-06-28","4"
"1-8","1","Garcia","Manuel III","Rejected","2024-07-08","Vacation Leave","2024-07-16","2024-07-17","2"
"1-9","1","Garcia","Manuel III","Pending","2025-01-25","Vacation Leave","2025-01-10","2025-01-11","2"
